,TotalLoanAmountApproved,NumberOfLoansApproved,LoanAmountPerCapita,LoansPer1000People,median_household_income,poverty_rate,total_population
count,45122.0,45122.0,45122.0,45122.0,45089.0,41868.0,41869.0
mean,1223368.9450822216,1.6323522893488764,8.523886869448866,0.013024037783555709,37407.84515070194,0.1640147598822278,100551.88167856887
std,4940762.953760614,6.083682615787948,32.61468735985414,0.04132413267618643,113784.42020592962,0.08163181094814637,321863.0449700264
min,0.0,0.0,0.0,0.0,17.0,0.0,43.0
25%,0.0,0.0,0.0,0.0,4299.0,0.11134687796404917,11187.0
50%,0.0,0.0,0.0,0.0,9906.0,0.14937997861682017,25983.0
75%,332000.0,1.0,3.6637908606308165,0.008499183578745677,25473.0,0.19519436242758859,66737.0
max,165059000.0,213.0,1875.139353400223,1.4684287812041115,3390254.0,0.6707371225577264,10105722.0
