,TotalLoanAmountApproved_diff,NumberOfLoansApproved_diff,LoanAmountPerCapita_diff,LoansPer1000People_diff,median_household_income_diff,poverty_rate_diff,total_population_diff
TotalLoanAmountApproved_diff,1.0,0.7736075929865031,0.3262076518473126,0.19195921260912627,0.07476396358387961,-0.00285513845385216,0.09306799525570357
NumberOfLoansApproved_diff,0.7736075929865031,1.0,0.23718238190784818,0.29790730879210564,0.026440883792321696,-0.007283091640961004,0.043403783355832296
LoanAmountPerCapita_diff,0.3262076518473126,0.23718238190784818,1.0,0.6360409597676597,0.0016199567008394736,0.00752970077736693,0.00410925887606556
LoansPer1000People_diff,0.19195921260912627,0.29790730879210564,0.6360409597676597,1.0,-8.706838876042617e-05,0.00773833985250789,0.001379838822100508
median_household_income_diff,0.07476396358387961,0.026440883792321696,0.0016199567008394736,-8.706838876042617e-05,1.0,-0.01621123481359288,0.6362379468051133
poverty_rate_diff,-0.00285513845385216,-0.007283091640961004,0.00752970077736693,0.00773833985250789,-0.01621123481359288,1.0,-0.004037401718975596
total_population_diff,0.09306799525570357,0.043403783355832296,0.00410925887606556,0.001379838822100508,0.6362379468051133,-0.004037401718975596,1.0
