,TotalLoanAmountApproved,NumberOfLoansApproved,LoanAmountPerCapita,LoansPer1000People,median_household_income,poverty_rate,total_population
TotalLoanAmountApproved,1.0,0.9466781049232579,0.22854698242348473,0.18034808190443774,0.588957801637782,-0.11899186493491745,0.5634762649989282
NumberOfLoansApproved,0.9466781049232579,1.0,0.20167727205717334,0.22416875560044794,0.567463235086185,-0.12716645974439322,0.5406632649763785
LoanAmountPerCapita,0.22854698242348473,0.20167727205717334,1.0,0.7148726344534085,0.03235447363693784,-0.12814761687345524,0.029283952430206633
LoansPer1000People,0.18034808190443774,0.22416875560044794,0.7148726344534085,1.0,0.017877246601291405,-0.15847241712099827,0.014873110048699175
median_household_income,0.588957801637782,0.567463235086185,0.03235447363693784,0.017877246601291405,1.0,-0.08186600873194494,0.9959494921318806
poverty_rate,-0.11899186493491745,-0.12716645974439322,-0.12814761687345524,-0.15847241712099827,-0.08186600873194494,1.0,-0.0757694341433915
total_population,0.5634762649989282,0.5406632649763785,0.029283952430206633,0.014873110048699175,0.9959494921318806,-0.0757694341433915,1.0
